BLE1,BLE2,BLE3,BLE4,BLE5,PRED
-54.0,-58.0,-54.0,-67.0,-70.0,1.0
-53.0,-59.0,-56.0,-62.0,-65.0,1.0
-57.0,-59.0,-54.0,-64.0,-65.0,1.0
-65.0,-58.0,-56.0,-64.0,-70.0,1.0
-65.0,-58.0,-68.0,-64.0,-70.0,1.0
-54.0,-59.0,-54.0,-63.0,-65.0,1.0
-53.0,-59.0,-56.0,-62.0,-71.0,1.0
-65.0,-58.0,-68.0,-62.0,-70.0,1.0
-65.0,-58.0,-68.0,-63.0,-73.0,1.0
-54.0,-59.0,-54.0,-63.0,-74.0,1.0
-54.0,-59.0,-54.0,-62.0,-65.0,1.0
-65.0,-58.0,-68.0,-67.0,-65.0,1.0
-65.0,-58.0,-68.0,-67.0,-70.0,1.0
-54.0,-59.0,-55.0,-64.0,-70.0,1.0
-54.0,-59.0,-56.0,-64.0,-73.0,1.0
-57.0,-59.0,-68.0,-64.0,-73.0,1.0
-57.0,-59.0,-68.0,-64.0,-74.0,1.0
-54.0,-59.0,-55.0,-64.0,-73.0,1.0
-54.0,-57.0,-55.0,-64.0,-74.0,1.0
-57.0,-57.0,-69.0,-64.0,-74.0,1.0
-57.0,-59.0,-68.0,-66.0,-65.0,1.0
-65.0,-59.0,-55.0,-66.0,-65.0,1.0
-58.0,-59.0,-69.0,-64.0,-70.0,1.0
-58.0,-59.0,-68.0,-64.0,-70.0,1.0
-64.0,-59.0,-56.0,-66.0,-65.0,1.0
-65.0,-59.0,-54.0,-65.0,-70.0,1.0
-58.0,-60.0,-54.0,-65.0,-70.0,1.0
-57.0,-61.0,-68.0,-65.0,-65.0,1.0
-65.0,-57.0,-54.0,-65.0,-65.0,1.0
-65.0,-57.0,-56.0,-65.0,-70.0,1.0
-57.0,-61.0,-54.0,-66.0,-70.0,1.0
-57.0,-61.0,-54.0,-66.0,-74.0,1.0
-57.0,-58.0,-68.0,-66.0,-73.0,1.0
-57.0,-57.0,-68.0,-66.0,-70.0,1.0
-65.0,-61.0,-56.0,-67.0,-70.0,1.0
-65.0,-61.0,-56.0,-67.0,-65.0,1.0
-54.0,-58.0,-69.0,-71.0,-65.0,1.0
-54.0,-58.0,-54.0,-71.0,-65.0,1.0
-65.0,-59.0,-54.0,-70.0,-65.0,1.0
-57.0,-59.0,-69.0,-70.0,-65.0,1.0
-57.0,-58.0,-54.0,-63.0,-65.0,1.0
-65.0,-61.0,-55.0,-63.0,-70.0,1.0
-54.0,-61.0,-68.0,-62.0,-70.0,1.0
-57.0,-58.0,-56.0,-61.0,-65.0,1.0
-57.0,-60.0,-56.0,-69.0,-65.0,1.0
-54.0,-61.0,-68.0,-69.0,-73.0,1.0
-54.0,-58.0,-68.0,-59.0,-73.0,1.0
-57.0,-57.0,-57.0,-59.0,-65.0,1.0
-57.0,-59.0,-57.0,-66.0,-65.0,1.0
-65.0,-59.0,-69.0,-58.0,-71.0,1.0
-54.0,-59.0,-57.0,-58.0,-70.0,1.0
-54.0,-59.0,-56.0,-67.0,-65.0,1.0
-65.0,-59.0,-78.0,-71.0,-65.0,1.0
-65.0,-59.0,-77.0,-71.0,-71.0,1.0
-57.0,-59.0,-57.0,-58.0,-70.0,1.0
-57.0,-61.0,-57.0,-58.0,-70.0,1.0
-64.0,-61.0,-64.0,-69.0,-70.0,1.0
-57.0,-57.0,-64.0,-69.0,-73.0,1.0
-57.0,-57.0,-55.0,-72.0,-73.0,1.0
-64.0,-59.0,-55.0,-72.0,-71.0,1.0
-64.0,-59.0,-54.0,-70.0,-70.0,1.0
-54.0,-57.0,-56.0,-70.0,-73.0,1.0
-65.0,-57.0,-57.0,-72.0,-72.0,1.0
-57.0,-59.0,-57.0,-72.0,-70.0,1.0
-57.0,-59.0,-58.0,-58.0,-70.0,1.0
-54.0,-57.0,-58.0,-71.0,-69.0,1.0
-65.0,-57.0,-65.0,-72.0,-70.0,1.0
-65.0,-61.0,-65.0,-58.0,-75.0,1.0
-54.0,-61.0,-55.0,-73.0,-75.0,1.0
-54.0,-57.0,-56.0,-71.0,-70.0,1.0
-57.0,-61.0,-66.0,-71.0,-70.0,1.0
-57.0,-61.0,-65.0,-74.0,-78.0,1.0
-54.0,-59.0,-59.0,-58.0,-78.0,1.0
-53.0,-59.0,-60.0,-72.0,-73.0,1.0
-64.0,-59.0,-62.0,-58.0,-73.0,1.0
-64.0,-59.0,-61.0,-58.0,-66.0,1.0
-54.0,-58.0,-60.0,-58.0,-65.0,1.0
-54.0,-59.0,-53.0,-58.0,-73.0,1.0
-58.0,-62.0,-52.0,-58.0,-72.0,1.0
