Be07,Be08,Be09,Be10,Be11,Sector
-75.0,-74.0,-75.0,-73.0,-72.0,1
-82.0,-83.0,-80.0,-62.0,-94.0,1
-93.0,-81.0,-80.0,-77.0,-75.0,1
-72.0,-76.0,-74.0,-72.0,-69.0,1
-69.0,-70.0,-89.0,-71.0,-72.0,1
-74.0,-74.0,-70.0,-69.0,-69.0,1
-71.0,-71.0,-73.0,-73.0,-68.0,1
-68.0,-73.0,-72.0,-71.0,-71.0,1
-70.0,-71.0,-72.0,-74.0,-74.0,1
-75.0,-75.0,-75.0,-75.0,-68.0,1
-69.0,-69.0,-73.0,-77.0,-76.0,1
-80.0,-77.0,-82.0,-78.0,-77.0,1
-73.0,-69.0,-73.0,-75.0,-85.0,1
-75.0,-72.0,-76.0,-75.0,-73.0,1
-79.0,-70.0,-84.0,-77.0,-76.0,1
-79.0,-76.0,-73.0,-82.0,-90.0,1
-73.0,-74.0,-69.0,-73.0,-73.0,1
-72.0,-74.0,-75.0,-75.0,-73.0,1
-74.0,-80.0,-83.0,-76.0,-78.0,1
-80.0,-80.0,-80.0,-79.0,-94.0,1
-77.0,-77.0,-84.0,-81.0,-89.0,1
-97.0,-93.0,-87.0,-85.0,-83.0,1
-79.0,-77.0,-77.0,-78.0,-79.0,1
-77.0,-76.0,-74.0,-77.0,-88.0,1
-83.0,-80.0,-77.0,-77.0,-85.0,1
-76.0,-65.0,-72.0,-71.0,-70.0,1
-69.0,-66.0,-66.0,-69.0,-70.0,1
-71.0,-75.0,-84.0,-80.0,-75.0,1
-73.0,-67.0,-70.0,-74.0,-75.0,1
-84.0,-77.0,-72.0,-72.0,-71.0,1
-71.0,-74.0,-72.0,-74.0,-78.0,1
-79.0,-77.0,-77.0,-77.0,-74.0,1
-70.0,-74.0,-72.0,-74.0,-70.0,1
-70.0,-72.0,-71.0,-69.0,-69.0,1
-70.0,-75.0,-77.0,-70.0,-68.0,1
-69.0,-66.0,-65.0,-64.0,-64.0,1
-64.0,-66.0,-65.0,-66.0,-67.0,1
-70.0,-71.0,-71.0,-72.0,-75.0,1
-80.0,-80.0,-72.0,-69.0,-79.0,1
-77.0,-79.0,-83.0,-84.0,-80.0,1
-78.0,-77.0,-81.0,-93.0,-79.0,1
-80.0,-80.0,-83.0,-83.0,-82.0,1
-82.0,-87.0,-80.0,-82.0,-88.0,1
-90.0,-87.0,-80.0,-80.0,-92.0,1
-82.0,-74.0,-76.0,-79.0,-76.0,1
-75.0,-74.0,-84.0,-81.0,-74.0,1
-75.0,-92.0,-90.0,-80.0,-75.0,1
-80.0,-76.0,-74.0,-77.0,-74.0,1
-76.0,-82.0,-77.0,-76.0,-75.0,1
-75.0,-78.0,-77.0,-80.0,-77.0,1
-73.0,-75.0,-77.0,-83.0,-87.0,1
-78.0,-85.0,-79.0,-79.0,-83.0,1
-82.0,-83.0,-85.0,-84.0,-84.0,1
-84.0,-84.0,-86.0,-87.0,-83.0,1
-89.0,-89.0,-84.0,-92.0,-90.0,1
-89.0,-91.0,-84.0,-82.0,-88.0,1
-91.0,-83.0,-85.0,-95.0,-83.0,1
-84.0,-96.0,-89.0,-87.0,-83.0,1
-83.0,-82.0,-92.0,-95.0,-81.0,1
-76.0,-74.0,-74.0,-77.0,-79.0,1
-76.0,-73.0,-74.0,-82.0,-81.0,1
-82.0,-84.0,-83.0,-85.0,-78.0,1
-79.0,-79.0,-77.0,-83.0,-78.0,1
-77.0,-81.0,-79.0,-87.0,-82.0,1
-86.0,-87.0,-81.0,-79.0,-95.0,1
-92.0,-83.0,-86.0,-83.0,-78.0,1
-95.0,-84.0,-95.0,-85.0,-85.0,1
-91.0,-86.0,-79.0,-82.0,-83.0,1
-79.0,-76.0,-77.0,-84.0,-82.0,1
-90.0,-86.0,-85.0,-81.0,-81.0,1
-85.0,-83.0,-83.0,-79.0,-77.0,1
-83.0,-82.0,-90.0,-72.0,-82.0,1
-77.0,-76.0,-79.0,-97.0,-78.0,1
-81.0,-78.0,-74.0,-76.0,-80.0,1
-81.0,-78.0,-73.0,-80.0,-81.0,1
-76.0,-83.0,-87.0,-89.0,-79.0,1
-82.0,-83.0,-84.0,-81.0,-72.0,1
-83.0,-79.0,-74.0,-75.0,-78.0,1
-79.0,-87.0,-83.0,-81.0,-79.0,1
-80.0,-82.0,-87.0,-90.0,-94.0,1
-88.0,-83.0,-79.0,-80.0,-86.0,1
-90.0,-84.0,-81.0,-83.0,-82.0,1
-83.0,-81.0,-91.0,-92.0,-106.0,1
-86.0,-81.0,-82.0,-83.0,-82.0,1
-73.0,-82.0,-81.0,-76.0,-79.0,1
-83.0,-79.0,-81.0,-98.0,-79.0,1
-80.0,-85.0,-83.0,-76.0,-74.0,1
-75.0,-74.0,-78.0,-79.0,-79.0,1
-76.0,-89.0,-81.0,-88.0,-76.0,1
-84.0,-77.0,-76.0,-60.0,-79.0,1
-63.0,-79.0,-82.0,-96.0,-82.0,1
-83.0,-83.0,-85.0,-84.0,-83.0,1
-79.0,-79.0,-83.0,-93.0,-84.0,1
-80.0,-74.0,-75.0,-81.0,-76.0,1
-78.0,-74.0,-97.0,-81.0,-83.0,1
-89.0,-87.0,-82.0,-90.0,-95.0,1
-86.0,-88.0,-81.0,-79.0,-93.0,1
-83.0,-84.0,-88.0,-82.0,-79.0,1
-82.0,-81.0,-81.0,-78.0,-82.0,1
-88.0,-82.0,-85.0,-86.0,-80.0,1
-82.0,-86.0,-93.0,-91.0,-93.0,1
-87.0,-86.0,-87.0,-87.0,-80.0,1
-76.0,-72.0,-74.0,-81.0,-91.0,1
-95.0,-92.0,-96.0,-91.0,-86.0,1
-82.0,-78.0,-76.0,-82.0,-76.0,1
-76.0,-77.0,-73.0,-76.0,-82.0,1
-78.0,-76.0,-76.0,-77.0,-78.0,1
-79.0,-77.0,-76.0,-79.0,-79.0,1
-78.0,-78.0,-85.0,-82.0,-80.0,1
-78.0,-75.0,-75.0,-77.0,-80.0,1
-79.0,-81.0,-93.0,-84.0,-75.0,1
-74.0,-72.0,-79.0,-90.0,-81.0,1
-76.0,-80.0,-83.0,-81.0,-77.0,1
-76.0,-78.0,-84.0,-82.0,-76.0,1
-75.0,-76.0,-79.0,-80.0,-80.0,1
-63.0,-68.0,-74.0,-72.0,-71.0,2
-71.0,-65.0,-70.0,-66.0,-65.0,2
-66.0,-66.0,-67.0,-66.0,-68.0,2
-65.0,-64.0,-64.0,-68.0,-61.0,2
-61.0,-63.0,-63.0,-62.0,-64.0,2
-64.0,-65.0,-63.0,-60.0,-62.0,2
-65.0,-65.0,-65.0,-66.0,-73.0,2
-81.0,-84.0,-77.0,-73.0,-71.0,2
-70.0,-69.0,-77.0,-75.0,-73.0,2
-73.0,-73.0,-67.0,-67.0,-71.0,2
-77.0,-77.0,-84.0,-78.0,-83.0,2
-68.0,-67.0,-82.0,-88.0,-84.0,2
-80.0,-77.0,-70.0,-71.0,-67.0,2
-85.0,-80.0,-76.0,-77.0,-75.0,2
-72.0,-72.0,-74.0,-74.0,-76.0,2
-82.0,-73.0,-75.0,-73.0,-70.0,2
-68.0,-69.0,-71.0,-69.0,-71.0,2
-93.0,-84.0,-76.0,-78.0,-93.0,2
-71.0,-67.0,-66.0,-77.0,-71.0,2
-73.0,-77.0,-67.0,-66.0,-74.0,2
-68.0,-66.0,-67.0,-67.0,-64.0,2
-70.0,-84.0,-74.0,-69.0,-69.0,2
-67.0,-66.0,-68.0,-72.0,-70.0,2
-70.0,-73.0,-75.0,-60.0,-66.0,2
-65.0,-63.0,-62.0,-65.0,-67.0,2
-60.0,-60.0,-59.0,-52.0,-61.0,2
-61.0,-62.0,-64.0,-63.0,-61.0,2
-61.0,-61.0,-62.0,-66.0,-67.0,2
-68.0,-71.0,-68.0,-68.0,-67.0,2
-66.0,-67.0,-68.0,-68.0,-70.0,2
-76.0,-84.0,-73.0,-77.0,-79.0,2
-83.0,-83.0,-78.0,-79.0,-85.0,2
-71.0,-71.0,-81.0,-82.0,-83.0,2
-86.0,-89.0,-83.0,-73.0,-74.0,2
-83.0,-84.0,-91.0,-80.0,-73.0,2
-78.0,-76.0,-74.0,-76.0,-83.0,2
-77.0,-85.0,-71.0,-69.0,-66.0,2
-69.0,-67.0,-68.0,-72.0,-77.0,2
-77.0,-81.0,-90.0,-83.0,-86.0,2
-77.0,-70.0,-71.0,-73.0,-90.0,2
-79.0,-74.0,-67.0,-67.0,-70.0,2
-68.0,-68.0,-68.0,-68.0,-65.0,2
-63.0,-61.0,-60.0,-62.0,-64.0,2
-67.0,-71.0,-75.0,-80.0,-79.0,2
-68.0,-65.0,-66.0,-67.0,-68.0,2
-68.0,-69.0,-71.0,-74.0,-69.0,2
-70.0,-70.0,-66.0,-67.0,-71.0,2
-74.0,-73.0,-77.0,-69.0,-69.0,2
-67.0,-65.0,-65.0,-68.0,-74.0,2
-72.0,-76.0,-84.0,-72.0,-69.0,2
-70.0,-75.0,-73.0,-73.0,-68.0,2
-64.0,-63.0,-65.0,-71.0,-69.0,2
-70.0,-70.0,-67.0,-75.0,-74.0,2
-66.0,-66.0,-74.0,-70.0,-88.0,2
-84.0,-73.0,-75.0,-68.0,-70.0,2
-69.0,-60.0,-70.0,-69.0,-66.0,2
-66.0,-72.0,-77.0,-85.0,-85.0,2
-78.0,-78.0,-86.0,-78.0,-71.0,2
-72.0,-72.0,-70.0,-65.0,-64.0,2
-62.0,-68.0,-66.0,-66.0,-68.0,2
-65.0,-66.0,-66.0,-66.0,-66.0,2
-66.0,-67.0,-69.0,-71.0,-70.0,2
-71.0,-68.0,-67.0,-65.0,-78.0,2
-76.0,-72.0,-68.0,-64.0,-64.0,2
-85.0,-86.0,-64.0,-50.0,-66.0,2
-66.0,-66.0,-63.0,-62.0,-51.0,2
-74.0,-51.0,-70.0,-73.0,-79.0,2
-69.0,-70.0,-68.0,-65.0,-62.0,2
-65.0,-65.0,-64.0,-69.0,-66.0,2
-64.0,-64.0,-68.0,-73.0,-74.0,2
-71.0,-73.0,-73.0,-71.0,-68.0,2
-91.0,-64.0,-66.0,-69.0,-68.0,2
-62.0,-61.0,-61.0,-70.0,-79.0,2
-79.0,-71.0,-94.0,-84.0,-80.0,2
-76.0,-78.0,-67.0,-66.0,-68.0,2
-73.0,-78.0,-73.0,-68.0,-78.0,2
-83.0,-79.0,-75.0,-85.0,-93.0,2
-83.0,-75.0,-73.0,-73.0,-73.0,2
-68.0,-75.0,-72.0,-72.0,-78.0,2
-78.0,-76.0,-77.0,-83.0,-74.0,2
-72.0,-74.0,-77.0,-79.0,-77.0,2
-61.0,-66.0,-66.0,-65.0,-64.0,2
-64.0,-63.0,-63.0,-61.0,-63.0,2
-63.0,-81.0,-78.0,-96.0,-87.0,2
-85.0,-77.0,-70.0,-60.0,-66.0,2
-68.0,-71.0,-72.0,-72.0,-65.0,2
-65.0,-63.0,-62.0,-64.0,-63.0,2
-64.0,-65.0,-68.0,-75.0,-75.0,2
-73.0,-77.0,-76.0,-73.0,-50.0,2
-71.0,-71.0,-67.0,-68.0,-66.0,2
-64.0,-61.0,-62.0,-68.0,-73.0,2
-75.0,-75.0,-76.0,-71.0,-64.0,2
-64.0,-66.0,-64.0,-62.0,-68.0,2
-64.0,-62.0,-62.0,-64.0,-62.0,2
-62.0,-61.0,-64.0,-79.0,-78.0,2
-77.0,-75.0,-73.0,-97.0,-70.0,2
-72.0,-85.0,-78.0,-72.0,-82.0,2
-81.0,-77.0,-77.0,-75.0,-76.0,2
-75.0,-75.0,-76.0,-74.0,-75.0,2
-71.0,-76.0,-75.0,-74.0,-84.0,2
-71.0,-75.0,-80.0,-80.0,-77.0,2
-73.0,-70.0,-73.0,-73.0,-69.0,2
-70.0,-72.0,-76.0,-78.0,-75.0,2
-70.0,-69.0,-69.0,-71.0,-71.0,2
-70.0,-67.0,-65.0,-65.0,-64.0,2
-64.0,-48.0,-65.0,-67.0,-68.0,2
-66.0,-65.0,-65.0,-65.0,-64.0,2
-65.0,-65.0,-65.0,-66.0,-65.0,2
-64.0,-64.0,-69.0,-70.0,-70.0,2
-68.0,-67.0,-67.0,-70.0,-75.0,2
-73.0,-73.0,-73.0,-70.0,-67.0,2
-65.0,-64.0,-65.0,-67.0,-71.0,2
-76.0,-95.0,-84.0,-75.0,-73.0,2
-73.0,-72.0,-72.0,-71.0,-72.0,2
-71.0,-76.0,-80.0,-71.0,-66.0,2
-62.0,-62.0,-64.0,-62.0,-66.0,2
-65.0,-66.0,-70.0,-81.0,-79.0,2
-74.0,-70.0,-69.0,-67.0,-66.0,2
-68.0,-71.0,-82.0,-65.0,-72.0,2
-81.0,-78.0,-71.0,-74.0,-84.0,2
-89.0,-81.0,-76.0,-74.0,-76.0,2
-82.0,-86.0,-77.0,-75.0,-78.0,2
-78.0,-78.0,-82.0,-80.0,-74.0,2
-81.0,-84.0,-80.0,-92.0,-87.0,2
-79.0,-80.0,-76.0,-75.0,-78.0,2
-77.0,-78.0,-80.0,-76.0,-75.0,2
-79.0,-78.0,-72.0,-70.0,-73.0,2
-70.0,-66.0,-69.0,-67.0,-65.0,2
-66.0,-68.0,-70.0,-71.0,-80.0,2
-76.0,-76.0,-84.0,-77.0,-78.0,2
-77.0,-75.0,-73.0,-70.0,-72.0,2
-78.0,-76.0,-77.0,-76.0,-75.0,2
-85.0,-79.0,-85.0,-74.0,-72.0,2
-74.0,-75.0,-73.0,-72.0,-74.0,2
-68.0,-50.0,-50.0,-50.0,-49.0,2
-65.0,-68.0,-64.0,-65.0,-66.0,2
-62.0,-62.0,-62.0,-71.0,-63.0,2
-62.0,-68.0,-59.0,-78.0,-70.0,2
-63.0,-62.0,-48.0,-46.0,-46.0,2
-68.0,-66.0,-66.0,-71.0,-76.0,2
-74.0,-72.0,-79.0,-73.0,-72.0,2
-76.0,-77.0,-77.0,-59.0,-69.0,2
-58.0,-65.0,-70.0,-90.0,-72.0,2
-73.0,-76.0,-77.0,-76.0,-75.0,2
-75.0,-75.0,-75.0,-76.0,-78.0,2
-76.0,-76.0,-59.0,-74.0,-73.0,2
-74.0,-79.0,-88.0,-65.0,-95.0,2
-81.0,-74.0,-76.0,-75.0,-74.0,2
-75.0,-70.0,-68.0,-73.0,-95.0,2
