Be07,Be08,Be09,Be10,Be11,Sector
-90.0,-90.0,-90.0,-92.0,-89.0,2
-88.0,-90.0,-92.0,-90.0,-91.0,2
-91.0,-91.0,-94.0,-94.0,-95.0,2
-94.0,-94.0,-94.0,-95.0,-94.0,2
-95.0,-94.0,-95.0,-95.0,-96.0,2
-96.0,-95.0,-95.0,-96.0,-85.0,2
-86.0,-88.0,-86.0,-88.0,-87.0,2
-86.0,-86.0,-90.0,-91.0,-91.0,2
-90.0,-91.0,-90.0,-90.0,-89.0,2
-92.0,-90.0,-90.0,-89.0,-92.0,2
-91.0,-93.0,-92.0,-95.0,-94.0,2
-94.0,-97.0,-95.0,-92.0,-96.0,2
-96.0,-94.0,-94.0,-93.0,-95.0,2
-95.0,-94.0,-94.0,-95.0,-95.0,2
-94.0,-84.0,-86.0,-87.0,-90.0,2
-90.0,-95.0,-95.0,-95.0,-94.0,2
-94.0,-93.0,-94.0,-95.0,-94.0,2
-93.0,-94.0,-94.0,-94.0,-96.0,2
-94.0,-94.0,-93.0,-94.0,-94.0,2
-94.0,-94.0,-94.0,-95.0,-93.0,2
-94.0,-95.0,-95.0,-95.0,-95.0,2
-95.0,-94.0,-95.0,-87.0,-88.0,2
-87.0,-86.0,-88.0,-87.0,-86.0,2
-86.0,-86.0,-87.0,-88.0,-89.0,2
-89.0,-87.0,-89.0,-86.0,-88.0,2
-87.0,-89.0,-93.0,-94.0,-94.0,2
-95.0,-94.0,-94.0,-95.0,-94.0,2
-94.0,-96.0,-96.0,-96.0,-94.0,2
-93.0,-93.0,-95.0,-93.0,-96.0,2
-94.0,-86.0,-84.0,-86.0,-85.0,2
-85.0,-86.0,-85.0,-86.0,-99.0,2
-105.0,-103.0,-101.0,-102.0,-96.0,2
-94.0,-94.0,-95.0,-94.0,-95.0,2
-93.0,-94.0,-94.0,-97.0,-95.0,2
-94.0,-99.0,-94.0,-95.0,-94.0,2
-97.0,-103.0,-102.0,-105.0,-103.0,2
-103.0,-106.0,-103.0,-101.0,-102.0,2
-103.0,-105.0,-104.0,-105.0,-106.0,2
-104.0,-97.0,-98.0,-100.0,-99.0,2
-100.0,-104.0,-102.0,-100.0,-101.0,2
-94.0,-96.0,-94.0,-94.0,-94.0,2
-96.0,-94.0,-93.0,-94.0,-94.0,2
-93.0,-94.0,-93.0,-93.0,-94.0,2
-94.0,-104.0,-102.0,-103.0,-102.0,2
-104.0,-104.0,-101.0,-103.0,-103.0,2
-103.0,-107.0,-102.0,-103.0,-104.0,2
-103.0,-105.0,-102.0,-102.0,-96.0,2
-98.0,-97.0,-94.0,-94.0,-102.0,2
-101.0,-100.0,-99.0,-100.0,-101.0,2
-100.0,-99.0,-99.0,-97.0,-99.0,2
-98.0,-99.0,-98.0,-98.0,-99.0,2
-100.0,-99.0,-97.0,-99.0,-98.0,2
-101.0,-100.0,-100.0,-99.0,-100.0,2
-99.0,-100.0,-100.0,-100.0,-102.0,2
-102.0,-100.0,-99.0,-99.0,-99.0,2
-97.0,-98.0,-98.0,-99.0,-100.0,2
-99.0,-95.0,-91.0,-90.0,-93.0,2
-93.0,-92.0,-89.0,-93.0,-95.0,2
-102.0,-102.0,-103.0,-99.0,-100.0,2
-101.0,-104.0,-101.0,-101.0,-103.0,2
-101.0,-102.0,-99.0,-101.0,-97.0,2
-99.0,-99.0,-100.0,-100.0,-98.0,2
-100.0,-99.0,-99.0,-100.0,-98.0,2
-99.0,-101.0,-102.0,-101.0,-101.0,2
-100.0,-103.0,-101.0,-107.0,-105.0,2
-106.0,-102.0,-101.0,-102.0,-105.0,2
-101.0,-105.0,-105.0,-105.0,-103.0,2
-105.0,-103.0,-101.0,-107.0,-111.0,2
-106.0,-105.0,-106.0,-106.0,-102.0,2
-104.0,-103.0,-106.0,-106.0,-107.0,2
-106.0,-106.0,-103.0,-104.0,-108.0,2
-103.0,-101.0,-101.0,-100.0,-100.0,2
-103.0,-101.0,-102.0,-102.0,-103.0,2
-101.0,-103.0,-101.0,-101.0,-101.0,2
-101.0,-103.0,-102.0,-105.0,-105.0,2
-103.0,-105.0,-105.0,-103.0,-103.0,2
-104.0,-106.0,-104.0,-109.0,-103.0,2
-104.0,-105.0,-105.0,-106.0,-105.0,2
-108.0,-103.0,-104.0,-105.0,-104.0,2
-105.0,-103.0,-107.0,-104.0,-103.0,2
-105.0,-102.0,-102.0,-103.0,-102.0,2
-103.0,-104.0,-104.0,-102.0,-106.0,2
-102.0,-105.0,-104.0,-104.0,-101.0,2
-103.0,-103.0,-103.0,-104.0,-103.0,2
-103.0,-104.0,-104.0,-103.0,-103.0,2
-104.0,-104.0,-101.0,-103.0,-104.0,2
-105.0,-105.0,-104.0,-104.0,-103.0,2
-106.0,-106.0,-107.0,-104.0,-106.0,2
-105.0,-105.0,-104.0,-105.0,-104.0,2
-103.0,-105.0,-104.0,-104.0,-104.0,2
-103.0,-105.0,-104.0,-104.0,-103.0,2
-103.0,-105.0,-106.0,-105.0,-105.0,2
-106.0,-104.0,-105.0,-104.0,-103.0,2
-102.0,-101.0,-105.0,-103.0,-103.0,2
-104.0,-104.0,-102.0,-102.0,-103.0,2
-102.0,-102.0,-104.0,-104.0,-100.0,2
-101.0,-99.0,-99.0,-100.0,-99.0,3
-101.0,-100.0,-98.0,-98.0,-97.0,3
-98.0,-100.0,-100.0,-97.0,-97.0,3
-98.0,-96.0,-98.0,-100.0,-101.0,3
-100.0,-99.0,-99.0,-98.0,-98.0,3
-100.0,-102.0,-100.0,-99.0,-96.0,3
-94.0,-95.0,-96.0,-96.0,-98.0,3
-100.0,-101.0,-95.0,-94.0,-94.0,3
-92.0,-93.0,-101.0,-93.0,-93.0,3
-94.0,-97.0,-97.0,-94.0,-97.0,3
-102.0,-93.0,-93.0,-93.0,-94.0,3
-99.0,-100.0,-100.0,-102.0,-91.0,3
-90.0,-91.0,-91.0,-91.0,-93.0,3
-94.0,-101.0,-90.0,-90.0,-90.0,3
-92.0,-93.0,-101.0,-93.0,-92.0,3
-94.0,-94.0,-93.0,-94.0,-97.0,3
-103.0,-91.0,-91.0,-92.0,-92.0,3
-96.0,-96.0,-95.0,-99.0,-93.0,3
-102.0,-104.0,-106.0,-103.0,-103.0,3
-107.0,-103.0,-106.0,-107.0,-103.0,3
-104.0,-104.0,-102.0,-103.0,-105.0,3
-106.0,-107.0,-106.0,-104.0,-103.0,3
-105.0,-104.0,-107.0,-105.0,-104.0,3
-105.0,-106.0,-105.0,-101.0,-104.0,3
-105.0,-107.0,-105.0,-105.0,-106.0,3
-104.0,-101.0,-102.0,-103.0,-106.0,3
-106.0,-103.0,-106.0,-103.0,-107.0,3
-107.0,-103.0,-104.0,-102.0,-109.0,3
-100.0,-107.0,-105.0,-103.0,-103.0,3
-104.0,-110.0,-108.0,-106.0,-105.0,3
-89.0,-89.0,-90.0,-86.0,-89.0,4
-86.0,-85.0,-86.0,-90.0,-86.0,4
-88.0,-85.0,-88.0,-87.0,-86.0,4
-86.0,-86.0,-85.0,-86.0,-99.0,4
-96.0,-97.0,-95.0,-96.0,-94.0,4
-95.0,-95.0,-95.0,-95.0,-95.0,4
-90.0,-85.0,-85.0,-85.0,-85.0,4
-87.0,-86.0,-86.0,-87.0,-86.0,4
-85.0,-86.0,-84.0,-87.0,-87.0,4
-85.0,-87.0,-85.0,-85.0,-87.0,4
-86.0,-86.0,-86.0,-87.0,-87.0,4
-85.0,-85.0,-86.0,-84.0,-85.0,4
-90.0,-91.0,-92.0,-92.0,-91.0,4
-92.0,-91.0,-91.0,-92.0,-93.0,4
-91.0,-91.0,-91.0,-91.0,-89.0,4
-89.0,-89.0,-88.0,-87.0,-87.0,4
-89.0,-88.0,-89.0,-88.0,-86.0,4
-92.0,-86.0,-87.0,-91.0,-86.0,4
-86.0,-87.0,-87.0,-88.0,-93.0,4
-92.0,-93.0,-92.0,-92.0,-92.0,4
-86.0,-90.0,-89.0,-89.0,-87.0,4
-87.0,-86.0,-86.0,-86.0,-89.0,4
-87.0,-90.0,-88.0,-88.0,-88.0,4
-89.0,-90.0,-89.0,-88.0,-88.0,4
-96.0,-96.0,-95.0,-95.0,-97.0,4
-96.0,-95.0,-95.0,-95.0,-95.0,4
-95.0,-93.0,-89.0,-89.0,-91.0,4
-90.0,-90.0,-88.0,-92.0,-87.0,4
-89.0,-89.0,-89.0,-89.0,-90.0,4
-91.0,-90.0,-89.0,-90.0,-87.0,4
-87.0,-86.0,-87.0,-89.0,-88.0,4
-88.0,-87.0,-90.0,-88.0,-87.0,4
-88.0,-91.0,-96.0,-96.0,-97.0,4
-95.0,-96.0,-95.0,-96.0,-96.0,4
-96.0,-96.0,-96.0,-97.0,-96.0,4
-89.0,-89.0,-87.0,-88.0,-88.0,4
-88.0,-89.0,-87.0,-87.0,-89.0,4
-87.0,-93.0,-87.0,-87.0,-87.0,4
-87.0,-87.0,-88.0,-88.0,-87.0,4
-88.0,-95.0,-95.0,-95.0,-96.0,4
-96.0,-89.0,-96.0,-100.0,-98.0,4
-95.0,-95.0,-101.0,-102.0,-101.0,4
-93.0,-97.0,-97.0,-98.0,-105.0,4
-100.0,-104.0,-102.0,-105.0,-108.0,4
-102.0,-100.0,-100.0,-99.0,-100.0,4
-101.0,-100.0,-103.0,-104.0,-101.0,4
-101.0,-100.0,-102.0,-101.0,-100.0,4
-101.0,-101.0,-108.0,-104.0,-101.0,4
-97.0,-96.0,-104.0,-102.0,-101.0,4
-96.0,-104.0,-108.0,-107.0,-96.0,4
-101.0,-103.0,-104.0,-99.0,-101.0,4
-102.0,-104.0,-97.0,-99.0,-101.0,4
-103.0,-102.0,-103.0,-101.0,-100.0,4
-102.0,-100.0,-105.0,-101.0,-103.0,4
-104.0,-101.0,-102.0,-100.0,-105.0,4
-100.0,-100.0,-107.0,-106.0,-107.0,4
-101.0,-105.0,-98.0,-102.0,-97.0,4
-102.0,-99.0,-100.0,-103.0,-100.0,4
-97.0,-96.0,-100.0,-100.0,-99.0,4
-105.0,-103.0,-104.0,-104.0,-103.0,4
-106.0,-104.0,-103.0,-103.0,-103.0,4
-98.0,-97.0,-94.0,-98.0,-100.0,4
-98.0,-95.0,-94.0,-95.0,-98.0,4
-95.0,-95.0,-96.0,-95.0,-96.0,4
-93.0,-94.0,-98.0,-98.0,-100.0,4
-100.0,-98.0,-99.0,-100.0,-99.0,4
-98.0,-98.0,-100.0,-99.0,-98.0,4
-98.0,-98.0,-96.0,-99.0,-95.0,4
-98.0,-99.0,-97.0,-97.0,-98.0,4
-98.0,-101.0,-100.0,-99.0,-98.0,4
-97.0,-98.0,-96.0,-96.0,-97.0,4
-97.0,-96.0,-98.0,-98.0,-99.0,4
-96.0,-96.0,-94.0,-96.0,-98.0,4
-98.0,-98.0,-99.0,-100.0,-99.0,4
-98.0,-99.0,-98.0,-98.0,-98.0,4
-99.0,-99.0,-96.0,-97.0,-98.0,4
-97.0,-96.0,-95.0,-95.0,-94.0,4
-96.0,-98.0,-97.0,-99.0,-96.0,4
-97.0,-98.0,-98.0,-97.0,-98.0,4
-97.0,-97.0,-96.0,-98.0,-98.0,4
-98.0,-100.0,-99.0,-98.0,-104.0,4
-105.0,-96.0,-100.0,-97.0,-98.0,4
-98.0,-97.0,-100.0,-103.0,-101.0,4
-96.0,-99.0,-101.0,-100.0,-102.0,4
-102.0,-100.0,-100.0,-105.0,-104.0,4
-103.0,-103.0,-103.0,-107.0,-108.0,4
-106.0,-106.0,-106.0,-106.0,-102.0,4
-102.0,-99.0,-99.0,-100.0,-99.0,4
-100.0,-103.0,-98.0,-99.0,-99.0,4
-99.0,-102.0,-100.0,-103.0,-102.0,4
-103.0,-99.0,-100.0,-99.0,-98.0,4
-98.0,-99.0,-100.0,-101.0,-99.0,4
-99.0,-96.0,-97.0,-98.0,-98.0,4
-110.0,-108.0,-105.0,-108.0,-109.0,4
-107.0,-108.0,-109.0,-110.0,-107.0,4
-109.0,-109.0,-105.0,-107.0,-102.0,4
-103.0,-102.0,-96.0,-99.0,-98.0,4
-98.0,-99.0,-100.0,-98.0,-99.0,4
-100.0,-100.0,-98.0,-101.0,-97.0,4
