Be07,Be08,Be09,Be10,Be11,Sector
-53,-60,-54,-65,-74,1
-65,-59,-75,-65,-74,1
-65,-61,-74,-67,-71,1
-53,-61,-54,-67,-70,1
-64,-60,-54,-65,-74,1
-65,-59,-73,-65,-74,1
-53,-60,-73,-62,-74,1
-53,-61,-54,-62,-74,1
-57,-58,-54,-64,-64,1
-55,-58,-71,-62,-64,1
-57,-60,-71,-63,-74,1
-57,-61,-54,-63,-74,1
-53,-58,-54,-63,-70,1
-52,-58,-71,-62,-70,1
-64,-60,-70,-62,-74,1
-64,-60,-54,-66,-74,1
-53,-60,-54,-67,-64,1
-52,-59,-69,-62,-70,1
-64,-59,-54,-62,-70,1
-64,-58,-54,-64,-64,1
-53,-58,-69,-64,-64,1
-52,-60,-69,-68,-70,1
-57,-59,-54,-67,-70,1
-64,-61,-54,-62,-74,1
-64,-59,-71,-62,-74,1
-53,-59,-71,-64,-70,1
-64,-58,-55,-62,-64,1
-57,-58,-57,-62,-74,1
-57,-59,-56,-67,-74,1
-64,-60,-56,-66,-74,1
-64,-61,-55,-62,-74,1
-53,-61,-54,-66,-74,1
-53,-58,-56,-66,-74,1
-57,-58,-54,-62,-70,1
-56,-60,-56,-62,-70,1
-56,-61,-55,-64,-64,1
-53,-59,-56,-62,-64,1
-53,-59,-56,-62,-65,1
-57,-61,-56,-67,-64,1
-53,-61,-56,-66,-70,1
-53,-58,-54,-62,-70,1
-64,-60,-56,-62,-73,1
-64,-59,-55,-66,-73,1
-53,-60,-56,-66,-70,1
-53,-59,-56,-62,-65,1
-57,-59,-56,-64,-74,1
-56,-59,-56,-64,-74,1
-64,-58,-56,-64,-70,1
-64,-58,-68,-63,-70,1
-56,-59,-68,-67,-65,1
-56,-60,-55,-62,-65,1
-64,-61,-54,-64,-70,1
-64,-58,-68,-63,-70,1
-54,-58,-68,-64,-65,1
-57,-61,-68,-64,-65,1
-58,-60,-56,-66,-70,1
-65,-58,-56,-66,-70,1
-65,-57,-54,-62,-74,1
-54,-59,-54,-64,-74,1
-54,-57,-68,-64,-70,1
-65,-57,-56,-66,-70,1
-65,-61,-56,-66,-65,1
-57,-61,-54,-62,-65,1
-57,-58,-54,-67,-70,1
-54,-58,-54,-67,-70,1
-53,-59,-56,-62,-65,1
-57,-59,-54,-64,-65,1
-65,-58,-56,-64,-70,1
-65,-58,-68,-64,-70,1
-54,-59,-54,-63,-65,1
-53,-59,-56,-62,-71,1
-65,-58,-68,-62,-70,1
-65,-58,-68,-63,-73,1
-54,-59,-54,-63,-74,1
-54,-59,-54,-62,-65,1
-65,-58,-68,-67,-65,1
-65,-58,-68,-67,-70,1
-54,-59,-55,-64,-70,1
-54,-59,-56,-64,-73,1
-57,-59,-68,-64,-73,1
-57,-59,-68,-64,-74,1
-54,-59,-55,-64,-73,1
-54,-57,-55,-64,-74,1
-57,-57,-69,-64,-74,1
-57,-59,-68,-66,-65,1
-65,-59,-55,-66,-65,1
-58,-59,-69,-64,-70,1
-58,-59,-68,-64,-70,1
-64,-59,-56,-66,-65,1
-65,-59,-54,-65,-70,1
-58,-60,-54,-65,-70,1
-57,-61,-68,-65,-65,1
-65,-57,-54,-65,-65,1
-65,-57,-56,-65,-70,1
-57,-61,-54,-66,-70,1
-57,-61,-54,-66,-74,1
-57,-58,-68,-66,-73,1
-57,-57,-68,-66,-70,1
-65,-61,-56,-67,-70,1
-65,-61,-56,-67,-65,1
-54,-58,-69,-71,-65,1
-54,-58,-54,-71,-65,1
-65,-59,-54,-70,-65,1
-57,-59,-69,-70,-65,1
-57,-58,-54,-63,-65,1
-65,-61,-55,-63,-70,1
-54,-61,-68,-62,-70,1
-57,-58,-56,-61,-65,1
-57,-60,-56,-69,-65,1
-54,-61,-68,-69,-73,1
-54,-58,-68,-59,-73,1
-57,-57,-57,-59,-65,1
-57,-59,-57,-66,-65,1
-65,-59,-69,-58,-71,1
-54,-59,-57,-58,-70,1
-54,-59,-56,-67,-65,1
-65,-59,-78,-71,-65,1
-65,-59,-77,-71,-71,1
-57,-59,-57,-58,-70,1
-57,-61,-57,-58,-70,1
-64,-61,-64,-69,-70,1
-57,-57,-64,-69,-73,1
-57,-57,-55,-72,-73,1
-64,-59,-55,-72,-71,1
-64,-59,-54,-70,-70,1
-54,-57,-56,-70,-73,1
-65,-57,-57,-72,-72,1
-57,-59,-57,-72,-70,1
-57,-59,-58,-58,-70,1
-54,-57,-58,-71,-69,1
-65,-57,-65,-72,-70,1
-65,-61,-65,-58,-75,1
-54,-61,-55,-73,-75,1
-54,-57,-56,-71,-70,1
-57,-61,-66,-71,-70,1
-57,-61,-65,-74,-78,1
-54,-59,-59,-58,-78,1
-53,-59,-60,-72,-73,1
-64,-59,-62,-58,-73,1
-64,-59,-61,-58,-66,1
-54,-58,-60,-58,-65,1
-54,-59,-53,-58,-73,1
-58,-62,-52,-58,-72,1
-58,-57,-63,-58,-68,1
-56,-62,-63,-73,-68,1
-55,-61,-54,-73,-74,1
-64,-58,-54,-58,-73,1
-63,-58,-62,-74,-67,1
-54,-58,-62,-74,-67,1
-54,-60,-54,-58,-74,1
-53,-60,-54,-57,-74,1
-54,-59,-59,-72,-75,1
-54,-59,-62,-71,-75,1
-54,-62,-62,-70,-72,1
-62,-62,-54,-71,-72,1
-61,-57,-54,-58,-77,1
-54,-58,-62,-76,-77,1
-54,-61,-62,-75,-72,1
-56,-60,-59,-71,-72,1
-58,-57,-59,-70,-67,1
-54,-56,-63,-58,-67,1
-54,-56,-63,-57,-78,1
-63,-56,-54,-69,-78,1
-63,-57,-59,-70,-68,1
-54,-55,-59,-75,-68,1
-53,-61,-63,-76,-72,1
-63,-61,-59,-77,-71,1
-62,-59,-59,-77,-68,1
-57,-59,-54,-78,-68,1
-57,-61,-54,-71,-78,1
-56,-58,-59,-70,-72,1
-56,-58,-59,-58,-78,1
-54,-61,-53,-58,-78,1
-56,-61,-53,-71,-68,1
-54,-54,-62,-71,-68,1
-53,-54,-62,-58,-72,1
-54,-58,-59,-58,-72,1
-54,-58,-59,-71,-79,1
-53,-61,-62,-71,-78,1
-53,-61,-59,-77,-72,1
-54,-58,-59,-77,-72,1
-54,-58,-54,-57,-68,1
-54,-61,-54,-57,-68,1
-53,-61,-62,-77,-79,1
-54,-54,-62,-57,-78,1
-54,-54,-54,-57,-79,1
-60,-61,-58,-77,-68,1
-60,-61,-54,-77,-68,1
-54,-56,-54,-57,-72,1
-54,-56,-58,-57,-72,1
-60,-61,-58,-71,-73,1
-60,-61,-58,-70,-72,1
-53,-57,-58,-57,-68,1
-53,-57,-58,-57,-77,1
-60,-61,-62,-76,-68,1
-60,-61,-62,-76,-68,1
-53,-54,-54,-57,-73,1
-53,-54,-54,-57,-73,1
-60,-61,-58,-77,-68,1
-54,-61,-58,-77,-76,1
-53,-54,-54,-58,-76,1
-54,-58,-54,-58,-73,1
-54,-57,-58,-70,-73,1
-60,-61,-58,-70,-68,1
-59,-61,-56,-57,-68,1
-54,-54,-54,-57,-75,1
-54,-62,-63,-71,-75,1
-60,-61,-62,-70,-68,1
-60,-54,-54,-57,-68,1
-54,-54,-54,-57,-76,1
-54,-61,-63,-72,-75,1
-54,-61,-62,-71,-73,1
-54,-54,-58,-69,-73,1
-54,-61,-58,-69,-68,1
-54,-58,-62,-72,-77,1
-54,-58,-58,-72,-76,1
-54,-61,-58,-68,-72,1
-54,-61,-63,-68,-73,1
-54,-56,-58,-69,-68,1
-54,-54,-58,-69,-68,1
-54,-58,-54,-60,-76,1
-54,-55,-54,-60,-75,1
-54,-54,-62,-72,-72,1
-54,-58,-62,-72,-68,1
-54,-58,-54,-65,-73,1
-59,-61,-54,-65,-75,1
-59,-59,-62,-81,-75,1
-54,-59,-62,-80,-73,1
-54,-59,-54,-67,-67,1
-54,-59,-54,-67,-73,1
-60,-59,-54,-63,-73,1
-54,-58,-54,-63,-74,1
-54,-62,-63,-80,-74,1
-59,-61,-63,-61,-68,1
-59,-55,-54,-61,-67,1
-54,-56,-54,-78,-74,1
-54,-61,-58,-78,-74,1
-60,-61,-58,-61,-68,1
-60,-58,-59,-61,-68,1
-54,-58,-59,-61,-74,1
-54,-61,-61,-61,-74,1
-59,-61,-60,-65,-73,1
-60,-58,-58,-65,-73,1
-54,-58,-57,-63,-68,1
-54,-56,-56,-63,-72,1
-60,-55,-56,-82,-73,1
-59,-59,-59,-83,-68,1
-54,-59,-60,-60,-68,1
-54,-55,-62,-69,-74,1
-59,-56,-57,-69,-73,1
-59,-62,-57,-74,-73,1
-54,-61,-53,-74,-68,1
-54,-55,-53,-71,-67,1
-60,-56,-61,-71,-75,1
-60,-61,-61,-68,-68,1
-54,-61,-53,-68,-68,1
-54,-55,-53,-65,-75,1
-54,-56,-65,-65,-75,1
-60,-58,-64,-73,-68,1
-60,-61,-58,-73,-68,1
-54,-61,-58,-64,-72,1
-54,-55,-65,-64,-72,1
-60,-55,-54,-72,-68,1
-60,-61,-58,-64,-77,1
-54,-61,-58,-64,-77,1
-54,-55,-54,-73,-71,1
-54,-58,-54,-59,-73,1
-54,-58,-64,-64,-72,1
-59,-61,-64,-64,-71,1
-59,-61,-59,-72,-70,1
-54,-55,-59,-72,-73,1
-54,-61,-58,-58,-73,1
-59,-61,-62,-58,-65,1
-59,-59,-62,-72,-65,1
-54,-59,-56,-72,-65,1
-54,-61,-56,-58,-65,1
-53,-58,-62,-58,-69,1
-53,-58,-61,-65,-69,1
-56,-62,-60,-65,-65,1
-54,-61,-60,-58,-69,1
-63,-54,-61,-58,-69,1
-62,-54,-61,-70,-71,1
-57,-58,-54,-70,-71,1
-56,-58,-54,-58,-64,1
-62,-62,-61,-58,-64,1
-62,-58,-60,-70,-71,1
-58,-58,-54,-70,-71,1
-58,-58,-54,-58,-67,1
-64,-60,-60,-58,-67,1
-58,-60,-60,-69,-68,1
-58,-53,-62,-69,-72,1
-66,-53,-62,-58,-72,1
-57,-60,-61,-70,-71,1
-57,-60,-60,-70,-71,1
-54,-54,-60,-57,-71,1
-54,-54,-60,-58,-71,1
-63,-59,-60,-67,-70,1
-62,-60,-60,-58,-70,1
-54,-60,-54,-58,-69,1
-54,-53,-53,-58,-68,1
-62,-53,-60,-58,-70,1
-62,-59,-60,-66,-69,1
-54,-59,-60,-66,-71,1
-54,-59,-53,-58,-70,1
-63,-59,-53,-70,-69,1
-63,-54,-59,-70,-71,1
-63,-54,-60,-59,-71,1
-63,-61,-60,-65,-68,1
-52,-61,-60,-65,-68,1
-52,-57,-53,-70,-70,1
-66,-57,-53,-65,-70,1
-66,-61,-60,-65,-69,1
-53,-61,-60,-59,-69,1
-53,-56,-53,-58,-71,1
-65,-56,-53,-65,-72,1
-65,-60,-60,-66,-69,1
-53,-60,-59,-70,-69,1
-52,-57,-53,-70,-71,1
-54,-55,-53,-66,-69,1
-54,-58,-60,-66,-69,1
-53,-60,-60,-58,-71,1
-53,-56,-59,-58,-71,1
-66,-57,-60,-66,-69,1
-65,-54,-60,-66,-69,1
-52,-56,-54,-58,-72,1
-52,-57,-53,-58,-72,1
-66,-57,-60,-70,-72,1
-66,-56,-59,-69,-72,1
-54,-54,-54,-59,-72,1
-54,-57,-53,-58,-72,1
-66,-55,-60,-70,-71,1
-66,-56,-60,-70,-72,1
-53,-62,-53,-58,-72,1
-54,-62,-53,-58,-72,1
-54,-58,-59,-70,-72,1
-52,-58,-59,-70,-71,1
-52,-58,-60,-58,-72,1
-66,-62,-60,-58,-72,1
-66,-62,-60,-66,-72,1
-54,-58,-60,-58,-69,1
-54,-58,-60,-66,-69,1
-66,-62,-60,-66,-72,1
-54,-62,-60,-70,-72,1
-54,-62,-60,-59,-69,1
-54,-58,-60,-70,-69,1
-54,-58,-60,-70,-71,1
-54,-61,-60,-71,-71,1
-54,-62,-59,-70,-69,1
-52,-58,-60,-58,-72,1
-52,-57,-53,-58,-71,1
-65,-62,-60,-70,-69,1
-65,-61,-53,-70,-68,1
-66,-57,-53,-58,-71,1
-65,-57,-60,-58,-71,1
-52,-62,-60,-70,-71,1
-52,-62,-60,-67,-69,1
-52,-58,-60,-66,-69,1
-52,-58,-60,-58,-71,1
-54,-58,-53,-58,-71,1
-52,-58,-53,-70,-69,1
-52,-57,-60,-70,-69,1
-54,-57,-60,-58,-69,1
-54,-58,-53,-58,-69,1
-66,-61,-60,-66,-72,1
-54,-61,-60,-58,-71,1
-54,-57,-54,-58,-69,1
-67,-57,-54,-66,-69,1
-66,-61,-60,-66,-71,1
-52,-61,-60,-58,-71,1
-52,-57,-60,-58,-71,1
-67,-57,-60,-66,-71,1
-66,-58,-60,-70,-71,1
-52,-58,-60,-70,-71,1
-52,-57,-54,-58,-71,1
-66,-58,-60,-58,-71,1
-66,-58,-60,-70,-71,1
-52,-58,-60,-70,-71,1
-52,-62,-59,-67,-71,1
-65,-61,-53,-67,-71,1
-65,-58,-53,-70,-72,1
-54,-58,-59,-70,-72,1
-54,-57,-54,-59,-69,1
-66,-57,-60,-58,-69,1
-54,-58,-60,-70,-72,1
-54,-58,-60,-70,-72,1
-52,-58,-59,-59,-69,1
-52,-57,-60,-58,-69,1
-54,-58,-60,-70,-69,1
-53,-57,-54,-70,-69,1
-52,-57,-60,-59,-71,1
-52,-58,-60,-59,-71,1
-66,-58,-54,-70,-69,1
-65,-62,-54,-70,-69,1
-52,-61,-60,-59,-71,1
-52,-57,-60,-59,-71,1
-54,-57,-61,-59,-69,1
-54,-61,-60,-59,-69,1
-66,-61,-54,-66,-71,1
-66,-57,-53,-71,-71,1
-52,-57,-60,-66,-69,1
-52,-61,-60,-66,-69,1
-66,-61,-53,-70,-71,1
-66,-57,-53,-71,-71,1
-54,-57,-59,-58,-71,1
-54,-57,-59,-70,-69,1
-52,-62,-53,-71,-69,1
-51,-62,-53,-58,-69,1
-53,-57,-59,-58,-69,1
-53,-57,-60,-71,-72,1
-53,-62,-60,-71,-71,1
-53,-61,-59,-66,-71,1
-66,-58,-59,-66,-71,1
-53,-58,-54,-71,-72,1
-53,-57,-54,-71,-72,1
-66,-57,-60,-66,-71,1
-66,-58,-60,-66,-71,1
-54,-58,-54,-66,-71,1
-54,-62,-60,-66,-72,1
-52,-61,-59,-66,-70,1
-52,-57,-54,-70,-70,1
-66,-57,-54,-67,-72,1
-65,-61,-60,-67,-72,1
-52,-61,-59,-59,-70,1
-51,-57,-61,-59,-71,1
-66,-61,-61,-67,-71,1
-66,-61,-60,-67,-71,1
-52,-57,-60,-70,-71,1
-54,-57,-61,-71,-69,1
-53,-62,-61,-67,-69,1
-65,-61,-54,-71,-71,1
-66,-57,-53,-71,-71,1
-54,-57,-60,-59,-71,1
-53,-58,-60,-71,-71,1
-52,-57,-60,-71,-72,1
-52,-57,-59,-65,-72,1
-54,-58,-59,-67,-72,1
-54,-58,-53,-71,-71,1
-66,-61,-53,-71,-71,1
-52,-61,-60,-59,-72,1
-52,-57,-59,-70,-72,1
-66,-57,-53,-70,-69,1
-65,-62,-53,-59,-71,1
-52,-62,-60,-59,-71,1
-52,-58,-60,-67,-72,1
-52,-58,-60,-59,-72,1
-52,-62,-59,-59,-71,1
-66,-58,-60,-67,-71,1
-66,-58,-60,-67,-71,1
-52,-58,-60,-70,-71,1
-51,-57,-59,-70,-69,1
-67,-61,-59,-59,-69,1
-66,-58,-59,-69,-71,1
-52,-57,-59,-70,-71,1
-67,-57,-59,-59,-69,1
-67,-57,-61,-68,-69,1
-53,-57,-59,-68,-71,1
-53,-57,-59,-70,-71,1
-51,-61,-53,-70,-72,1
-51,-57,-53,-59,-72,1
-53,-57,-60,-70,-69,1
-53,-57,-60,-70,-72,1
-53,-57,-53,-59,-71,1
-53,-57,-53,-59,-70,1
-66,-57,-60,-70,-69,1
-53,-57,-60,-70,-72,1
-53,-57,-54,-59,-71,1
-66,-62,-53,-68,-70,1
-66,-61,-60,-68,-70,1
-51,-57,-60,-70,-72,1
-51,-57,-60,-70,-72,1
-66,-57,-53,-67,-69,1
-66,-57,-53,-67,-72,1
-51,-57,-60,-71,-72,1
-51,-57,-60,-71,-72,1
-65,-58,-59,-59,-72,1
-65,-57,-59,-59,-71,1
-52,-57,-61,-70,-71,1
-51,-61,-60,-71,-72,1
-54,-61,-59,-71,-72,1
-54,-57,-59,-71,-72,1
-66,-57,-61,-59,-72,1
-65,-62,-59,-71,-72,1
-54,-61,-59,-70,-72,1
-54,-58,-59,-67,-69,1
-52,-58,-59,-67,-69,1
-52,-62,-60,-71,-71,1
-66,-62,-60,-70,-72,1
-66,-58,-53,-59,-72,1
-52,-57,-53,-59,-71,1
-52,-61,-61,-71,-71,1
-54,-61,-60,-70,-72,1
